Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
3,3,seulement,only
4,4,police,police
5,5,pensais,thought
6,6,aide,help
7,7,demande,request
8,8,genre,kind
9,10,laisser,let
10,11,car,because
11,12,mettre,to put
12,13,aucun,no
13,14,eux,them
14,15,chaque,each
15,16,parlé,speak
16,17,arrivé,come
17,18,devrait,should
18,19,bébé,baby
19,20,longtemps,long time
20,21,vont,will
21,22,pendant,while
22,23,aucune,any
23,24,place,square
24,25,parle,speak
25,26,compris,understood
26,27,savais,knew
27,28,étaient,were
28,29,attention,Warning
29,30,voici,here is
30,31,pourrais,could
31,32,donner,give
32,33,type,type
33,34,leurs,their
34,35,donné,given
35,36,train,train
36,37,corps,body
37,38,endroit,place
38,39,yeux,eyes
39,40,façon,way
40,41,dont,whose
42,43,premier,first
43,44,perdu,lost
44,45,main,hand
45,46,côté,side
46,47,pouvoir,power
47,48,vieux,old
48,49,sois,be
49,50,tiens,here
51,52,tellement,so much
52,53,enfant,child
53,54,point,point
54,55,venu,came
56,58,venez,come
57,59,devant,in front of
58,60,vers,towards
59,61,minutes,minutes
60,62,demandé,request
61,63,mis,placed
62,64,belle,beautiful
63,65,droit,law
64,66,aimerais,would like to
65,67,mari,husband
66,68,cause,cause
67,69,enfin,finally
68,70,espère,hope
69,71,eau,water
70,72,attendez,Wait
71,74,nouvelle,new
72,75,boulot,job
73,76,dirait,would say
74,77,terre,Earth
75,78,compte,account
76,79,donne,given
77,80,loin,far
78,81,fin,end
79,82,croire,believe
80,83,chérie,sweetheart
81,84,gros,large
82,85,plutôt,rather
83,86,aura,will have
84,87,filles,girls
85,88,jouer,to play
86,89,bureau,office
